User,ADMIN,05/25/2026 14:13:47 PM,GUI,[LogLoad]- Map LLAElevator.00,A,MP
User,ADMIN,05/25/2026 14:13:47 PM,GUI,[LogLoad]- DoMap True
User,ADMIN,05/25/2026 14:13:49 PM,DeviceNet,[Main Screen] Alarm Light On
Alarm,ADMIN,05/25/2026 14:13:49 PM,GUI,LLA: There is duplicated wafer id - A01
User,ADMIN,05/25/2026 14:13:49 PM,GUI,[LogLoad]- DoMapWhenPumpdownReady True
User,ADMIN,05/25/2026 14:13:49 PM,LLA,[Main Screen]  Load completed.
User,ADMIN,05/25/2026 14:13:54 PM,DeviceNet,[Main Screen] Alarm Light Off
User,ADMIN,05/25/2026 14:13:54 PM,GUI,[Maintenance] Clear All Alarm Message
User,ADMIN,05/25/2026 14:14:00 PM,GUI,[Main Screen] Click menu Return wafer on PM3.
Message,ADMIN,05/25/2026 14:14:00 PM,GUI,Return Wafer Starting...
User,ADMIN,05/25/2026 14:14:01 PM,GUI,Start Transfer Wafer A06 From: PM3 To: LoadLockA,Slot06
User,ADMIN,05/25/2026 14:14:33 PM,DeviceNet,[Main Screen] Alarm Light On
Alarm,ADMIN,05/25/2026 14:14:33 PM,GUI,Error: Failed To Rotate Substrate To Station: 6
Alarm,Default,05/25/2026 14:20:09 PM,Aligner,Encounter Error In Initialization
Alarm,Default,05/25/2026 14:22:12 PM,Robot,Encounter Error In Initialization
User,Default,05/25/2026 14:22:27 PM,GUI,[Main Screen] Sequence file error
User,Default,05/25/2026 14:22:42 PM,GUI,[Main Screen] Turn Off TM IG.
User,ADMIN,05/25/2026 14:24:39 PM,GUI,[Main Screen] Login Successed with Username admin
User,ADMIN,05/25/2026 14:24:44 PM,GUI,Check out AVP Privilege
User,ADMIN,05/25/2026 14:24:49 PM,GUI,[TM Screen] - Delete Wafer A08 inside PM3
User,ADMIN,05/25/2026 14:24:51 PM,GUI,[TM Screen] - Delete Wafer A01 inside PM3
User,ADMIN,05/25/2026 14:24:53 PM,GUI,[TM Screen] - Delete Wafer A02 inside PM3
User,ADMIN,05/25/2026 14:24:55 PM,GUI,[TM Screen] - Delete Wafer A03 inside PM3
User,ADMIN,05/25/2026 14:24:57 PM,GUI,[TM Screen] - Delete Wafer A04 inside PM3
User,ADMIN,05/25/2026 14:24:59 PM,GUI,[TM Screen] - Delete Wafer A05 inside PM3
User,ADMIN,05/25/2026 14:25:00 PM,GUI,[TM Screen] - Delete Wafer A06 inside PM3
User,ADMIN,05/25/2026 14:25:03 PM,GUI,[TM Screen] - Delete Wafer A07 inside PM3
